protein_id	species_taxid	species_name
10090.ENSMUSP00000000001	10090	Mus musculus
10090.ENSMUSP00000000003	10090	Mus musculus
10090.ENSMUSP00000000010	10090	Mus musculus
10090.ENSMUSP00000000028	10090	Mus musculus
10090.ENSMUSP00000000049	10090	Mus musculus
10090.ENSMUSP00000000058	10090	Mus musculus
10090.ENSMUSP00000000080	10090	Mus musculus
10090.ENSMUSP00000000090	10090	Mus musculus
10090.ENSMUSP00000000095	10090	Mus musculus
10090.ENSMUSP00000000122	10090	Mus musculus
10090.ENSMUSP00000000127	10090	Mus musculus
10090.ENSMUSP00000000129	10090	Mus musculus
10090.ENSMUSP00000000137	10090	Mus musculus
10090.ENSMUSP00000000153	10090	Mus musculus
10090.ENSMUSP00000000161	10090	Mus musculus
10090.ENSMUSP00000000171	10090	Mus musculus
10090.ENSMUSP00000000175	10090	Mus musculus
10090.ENSMUSP00000000186	10090	Mus musculus
10090.ENSMUSP00000000187	10090	Mus musculus
10090.ENSMUSP00000000188	10090	Mus musculus
10090.ENSMUSP00000000193	10090	Mus musculus
10090.ENSMUSP00000000194	10090	Mus musculus
10090.ENSMUSP00000000199	10090	Mus musculus
10090.ENSMUSP00000000201	10090	Mus musculus
10090.ENSMUSP00000000206	10090	Mus musculus
10090.ENSMUSP00000000208	10090	Mus musculus
10090.ENSMUSP00000000219	10090	Mus musculus
10090.ENSMUSP00000000221	10090	Mus musculus
10090.ENSMUSP00000000253	10090	Mus musculus
10090.ENSMUSP00000000254	10090	Mus musculus
10090.ENSMUSP00000000260	10090	Mus musculus
10090.ENSMUSP00000000266	10090	Mus musculus
10090.ENSMUSP00000000275	10090	Mus musculus
10090.ENSMUSP00000000287	10090	Mus musculus
10090.ENSMUSP00000000291	10090	Mus musculus
10090.ENSMUSP00000000299	10090	Mus musculus
10090.ENSMUSP00000000304	10090	Mus musculus
10090.ENSMUSP00000000305	10090	Mus musculus
10090.ENSMUSP00000000312	10090	Mus musculus
10090.ENSMUSP00000000314	10090	Mus musculus
10090.ENSMUSP00000000317	10090	Mus musculus
10090.ENSMUSP00000000326	10090	Mus musculus
10090.ENSMUSP00000000327	10090	Mus musculus
10090.ENSMUSP00000000329	10090	Mus musculus
10090.ENSMUSP00000000342	10090	Mus musculus
10090.ENSMUSP00000000348	10090	Mus musculus
10090.ENSMUSP00000000349	10090	Mus musculus
10090.ENSMUSP00000000356	10090	Mus musculus
10090.ENSMUSP00000000365	10090	Mus musculus
10090.ENSMUSP00000000369	10090	Mus musculus
10090.ENSMUSP00000000384	10090	Mus musculus
10090.ENSMUSP00000000388	10090	Mus musculus
10090.ENSMUSP00000000395	10090	Mus musculus
10090.ENSMUSP00000000412	10090	Mus musculus
10090.ENSMUSP00000000421	10090	Mus musculus
10090.ENSMUSP00000000445	10090	Mus musculus
10090.ENSMUSP00000000449	10090	Mus musculus
10090.ENSMUSP00000000450	10090	Mus musculus
10090.ENSMUSP00000000451	10090	Mus musculus
10090.ENSMUSP00000000466	10090	Mus musculus
10090.ENSMUSP00000000500	10090	Mus musculus
10090.ENSMUSP00000000505	10090	Mus musculus
10090.ENSMUSP00000000542	10090	Mus musculus
10090.ENSMUSP00000000543	10090	Mus musculus
10090.ENSMUSP00000000544	10090	Mus musculus
10090.ENSMUSP00000000573	10090	Mus musculus
10090.ENSMUSP00000000574	10090	Mus musculus
10090.ENSMUSP00000000579	10090	Mus musculus
10090.ENSMUSP00000000590	10090	Mus musculus
10090.ENSMUSP00000000594	10090	Mus musculus
10090.ENSMUSP00000000608	10090	Mus musculus
10090.ENSMUSP00000000619	10090	Mus musculus
10090.ENSMUSP00000000641	10090	Mus musculus
10090.ENSMUSP00000000642	10090	Mus musculus
10090.ENSMUSP00000000687	10090	Mus musculus
10090.ENSMUSP00000000696	10090	Mus musculus
10090.ENSMUSP00000000707	10090	Mus musculus
10090.ENSMUSP00000000717	10090	Mus musculus
10090.ENSMUSP00000000718	10090	Mus musculus
10090.ENSMUSP00000000724	10090	Mus musculus
10090.ENSMUSP00000000727	10090	Mus musculus
10090.ENSMUSP00000000755	10090	Mus musculus
10090.ENSMUSP00000000756	10090	Mus musculus
10090.ENSMUSP00000000759	10090	Mus musculus
10090.ENSMUSP00000000767	10090	Mus musculus
10090.ENSMUSP00000000769	10090	Mus musculus
10090.ENSMUSP00000000776	10090	Mus musculus
10090.ENSMUSP00000000804	10090	Mus musculus
10090.ENSMUSP00000000808	10090	Mus musculus
10090.ENSMUSP00000000809	10090	Mus musculus
10090.ENSMUSP00000000811	10090	Mus musculus
10090.ENSMUSP00000000828	10090	Mus musculus
10090.ENSMUSP00000000834	10090	Mus musculus
10090.ENSMUSP00000000889	10090	Mus musculus
10090.ENSMUSP00000000895	10090	Mus musculus
10090.ENSMUSP00000000896	10090	Mus musculus
10090.ENSMUSP00000000910	10090	Mus musculus
10090.ENSMUSP00000000924	10090	Mus musculus
10090.ENSMUSP00000000925	10090	Mus musculus
10090.ENSMUSP00000000926	10090	Mus musculus
10090.ENSMUSP00000000939	10090	Mus musculus
10090.ENSMUSP00000000940	10090	Mus musculus
10090.ENSMUSP00000000958	10090	Mus musculus
10090.ENSMUSP00000000964	10090	Mus musculus
10090.ENSMUSP00000000985	10090	Mus musculus
10090.ENSMUSP00000001002	10090	Mus musculus
10090.ENSMUSP00000001008	10090	Mus musculus
10090.ENSMUSP00000001009	10090	Mus musculus
10090.ENSMUSP00000001027	10090	Mus musculus
10090.ENSMUSP00000001040	10090	Mus musculus
10090.ENSMUSP00000001042	10090	Mus musculus
10090.ENSMUSP00000001046	10090	Mus musculus
10090.ENSMUSP00000001047	10090	Mus musculus
10090.ENSMUSP00000001051	10090	Mus musculus
10090.ENSMUSP00000001055	10090	Mus musculus
10090.ENSMUSP00000001059	10090	Mus musculus
10090.ENSMUSP00000001079	10090	Mus musculus
10090.ENSMUSP00000001080	10090	Mus musculus
10090.ENSMUSP00000001081	10090	Mus musculus
10090.ENSMUSP00000001092	10090	Mus musculus
10090.ENSMUSP00000001109	10090	Mus musculus
10090.ENSMUSP00000001112	10090	Mus musculus
10090.ENSMUSP00000001115	10090	Mus musculus
10090.ENSMUSP00000001122	10090	Mus musculus
10090.ENSMUSP00000001125	10090	Mus musculus
10090.ENSMUSP00000001126	10090	Mus musculus
10090.ENSMUSP00000001127	10090	Mus musculus
10090.ENSMUSP00000001130	10090	Mus musculus
10090.ENSMUSP00000001147	10090	Mus musculus
10090.ENSMUSP00000001148	10090	Mus musculus
10090.ENSMUSP00000001155	10090	Mus musculus
10090.ENSMUSP00000001156	10090	Mus musculus
10090.ENSMUSP00000001166	10090	Mus musculus
10090.ENSMUSP00000001172	10090	Mus musculus
10090.ENSMUSP00000001179	10090	Mus musculus
10090.ENSMUSP00000001181	10090	Mus musculus
10090.ENSMUSP00000001183	10090	Mus musculus
10090.ENSMUSP00000001184	10090	Mus musculus
10090.ENSMUSP00000001185	10090	Mus musculus
10090.ENSMUSP00000001186	10090	Mus musculus
10090.ENSMUSP00000001202	10090	Mus musculus
10090.ENSMUSP00000001226	10090	Mus musculus
10090.ENSMUSP00000001240	10090	Mus musculus
10090.ENSMUSP00000001242	10090	Mus musculus
10090.ENSMUSP00000001247	10090	Mus musculus
10090.ENSMUSP00000001253	10090	Mus musculus
10090.ENSMUSP00000001254	10090	Mus musculus
10090.ENSMUSP00000001256	10090	Mus musculus
10090.ENSMUSP00000001258	10090	Mus musculus
10090.ENSMUSP00000001279	10090	Mus musculus
10090.ENSMUSP00000001280	10090	Mus musculus
10090.ENSMUSP00000001304	10090	Mus musculus
10090.ENSMUSP00000001319	10090	Mus musculus
10090.ENSMUSP00000001326	10090	Mus musculus
10090.ENSMUSP00000001327	10090	Mus musculus
10090.ENSMUSP00000001339	10090	Mus musculus
10090.ENSMUSP00000001347	10090	Mus musculus
10090.ENSMUSP00000001384	10090	Mus musculus
10090.ENSMUSP00000001402	10090	Mus musculus
10090.ENSMUSP00000001412	10090	Mus musculus
10090.ENSMUSP00000001415	10090	Mus musculus
10090.ENSMUSP00000001416	10090	Mus musculus
10090.ENSMUSP00000001419	10090	Mus musculus
10090.ENSMUSP00000001451	10090	Mus musculus
10090.ENSMUSP00000001452	10090	Mus musculus
10090.ENSMUSP00000001456	10090	Mus musculus
10090.ENSMUSP00000001460	10090	Mus musculus
10090.ENSMUSP00000001479	10090	Mus musculus
10090.ENSMUSP00000001480	10090	Mus musculus
10090.ENSMUSP00000001484	10090	Mus musculus
10090.ENSMUSP00000001485	10090	Mus musculus
10090.ENSMUSP00000001497	10090	Mus musculus
10090.ENSMUSP00000001507	10090	Mus musculus
10090.ENSMUSP00000001513	10090	Mus musculus
10090.ENSMUSP00000001520	10090	Mus musculus
10090.ENSMUSP00000001534	10090	Mus musculus
10090.ENSMUSP00000001536	10090	Mus musculus
