protein_id	orthogroup_id
4932.YOR051C	2QPHX
4932.YDR348C	2QPHY
4932.YHR097C	2QPHY
4932.YGR266W	2QPI0
10090.ENSMUSP00000033207	2QPI2
10116.ENSRNOP00000064370	2QPI2
9606.ENSP00000460971	2QPI2
10090.ENSMUSP00000021249	2QPIA
10090.ENSMUSP00000088320	2QPIA
10116.ENSRNOP00000013580	2QPIA
10116.ENSRNOP00000025255	2QPIA
7955.ENSDARP00000014414	2QPIA
7955.ENSDARP00000063856	2QPIA
9606.ENSP00000272732	2QPIA
9606.ENSP00000290216	2QPIA
10090.ENSMUSP00000135642	2QPIJ
10116.ENSRNOP00000030169	2QPIJ
9606.ENSP00000457748	2QPIJ
10090.ENSMUSP00000125693	2QPIM
10116.ENSRNOP00000029891	2QPIM
7955.ENSDARP00000113672	2QPIM
7955.ENSDARP00000121497	2QPIM
9606.ENSP00000263413	2QPIM
10090.ENSMUSP00000136304	2QPIV
10116.ENSRNOP00000032345	2QPIV
9606.ENSP00000310303	2QPIV
7955.ENSDARP00000073631	2QPIW
10090.ENSMUSP00000103845	2QPJ1
10116.ENSRNOP00000015192	2QPJ1
7955.ENSDARP00000018028	2QPJ1
9606.ENSP00000296015	2QPJ1
7955.ENSDARP00000067835	2QPJ6
10090.ENSMUSP00000024171	2QPJA
10116.ENSRNOP00000012823	2QPJA
7955.ENSDARP00000073251	2QPJA
9606.ENSP00000348132	2QPJA
10090.ENSMUSP00000054105	2QPJB
10116.ENSRNOP00000012248	2QPJB
7955.ENSDARP00000101252	2QPJB
7955.ENSDARP00000124635	2QPJB
9606.ENSP00000298251	2QPJB
10090.ENSMUSP00000017354	2QPJD
10116.ENSRNOP00000011947	2QPJD
7955.ENSDARP00000097153	2QPJD
9606.ENSP00000377686	2QPJD
10090.ENSMUSP00000095303	2QPJE
10116.ENSRNOP00000066656	2QPJE
7955.ENSDARP00000086133	2QPJE
9606.ENSP00000289388	2QPJE
4932.YKL176C	2QPJF
4932.YER026C	2QPJG
7955.ENSDARP00000122095	2QPJJ
10090.ENSMUSP00000029164	2QPJN
10116.ENSRNOP00000027581	2QPJN
7955.ENSDARP00000121867	2QPJN
9606.ENSP00000262866	2QPJN
10090.ENSMUSP00000054338	2QPJP
10116.ENSRNOP00000061878	2QPJP
7955.ENSDARP00000075057	2QPJP
7955.ENSDARP00000106372	2QPJP
7955.ENSDARP00000117549	2QPJP
9606.ENSP00000362244	2QPJP
10090.ENSMUSP00000082270	2QPJR
10116.ENSRNOP00000033157	2QPJR
7955.ENSDARP00000056800	2QPJR
7955.ENSDARP00000110262	2QPJR
9606.ENSP00000311827	2QPJR
10090.ENSMUSP00000038671	2QPJV
10090.ENSMUSP00000066000	2QPJV
10116.ENSRNOP00000011576	2QPJV
10116.ENSRNOP00000030845	2QPJV
7955.ENSDARP00000073408	2QPJV
7955.ENSDARP00000118543	2QPJV
9606.ENSP00000351669	2QPJV
9606.ENSP00000362136	2QPJV
7955.ENSDARP00000098349	2QPJW
10090.ENSMUSP00000018743	2QPJX
10116.ENSRNOP00000023838	2QPJX
7955.ENSDARP00000094402	2QPJX
9606.ENSP00000379057	2QPJX
4932.YKL217W	2QPK1
10090.ENSMUSP00000021379	2QPK4
10116.ENSRNOP00000006137	2QPK4
7955.ENSDARP00000124464	2QPK4
9606.ENSP00000308533	2QPK4
4932.YDR072C	2QPKA
10090.ENSMUSP00000070098	2QPKE
10116.ENSRNOP00000043841	2QPKE
7955.ENSDARP00000017949	2QPKE
9606.ENSP00000261888	2QPKE
4932.YPR201W	2QPKH
10090.ENSMUSP00000001620	2QPKJ
10090.ENSMUSP00000018909	2QPKJ
10090.ENSMUSP00000085906	2QPKJ
10116.ENSRNOP00000016163	2QPKJ
10116.ENSRNOP00000016227	2QPKJ
10116.ENSRNOP00000065667	2QPKJ
7955.ENSDARP00000004667	2QPKJ
7955.ENSDARP00000092273	2QPKJ
7955.ENSDARP00000104665	2QPKJ
7955.ENSDARP00000124192	2QPKJ
9606.ENSP00000250113	2QPKJ
9606.ENSP00000350170	2QPKJ
9606.ENSP00000359506	2QPKJ
10090.ENSMUSP00000004202	2QPKK
10116.ENSRNOP00000063831	2QPKK
7955.ENSDARP00000013243	2QPKK
9606.ENSP00000352516	2QPKK
10090.ENSMUSP00000070751	2QPKN
10116.ENSRNOP00000011275	2QPKN
10116.ENSRNOP00000012091	2QPKN
7955.ENSDARP00000018579	2QPKN
7955.ENSDARP00000060115	2QPKN
7955.ENSDARP00000064402	2QPKN
7955.ENSDARP00000111135	2QPKN
9606.ENSP00000290401	2QPKN
9606.ENSP00000333769	2QPKN
10090.ENSMUSP00000027675	2QPKT
10116.ENSRNOP00000005853	2QPKT
7955.ENSDARP00000107085	2QPKT
7955.ENSDARP00000109764	2QPKT
7955.ENSDARP00000110921	2QPKT
7955.ENSDARP00000112186	2QPKT
9606.ENSP00000348888	2QPKT
10090.ENSMUSP00000139026	2QPKV
10116.ENSRNOP00000032095	2QPKV
7955.ENSDARP00000026137	2QPKV
9606.ENSP00000342169	2QPKV
10090.ENSMUSP00000064462	2QPKW
10116.ENSRNOP00000054130	2QPKW
7955.ENSDARP00000004827	2QPKW
7955.ENSDARP00000099230	2QPKW
9606.ENSP00000357588	2QPKW
4932.YDR277C	2QPKX
4932.YOR047C	2QPKX
4932.YIL099W	2QPM2
10090.ENSMUSP00000110900	2QPM4
10116.ENSRNOP00000017374	2QPM4
7955.ENSDARP00000109536	2QPM4
9606.ENSP00000285871	2QPM4
10090.ENSMUSP00000023828	2QPM7
10116.ENSRNOP00000063323	2QPM7
7955.ENSDARP00000023024	2QPM7
9606.ENSP00000255674	2QPM7
10090.ENSMUSP00000046927	2QPM8
10116.ENSRNOP00000022800	2QPM8
7955.ENSDARP00000041053	2QPM8
7955.ENSDARP00000079883	2QPM8
9606.ENSP00000455041	2QPM8
4932.YGR196C	2QPM9
10090.ENSMUSP00000007046	2QPMC
10116.ENSRNOP00000038714	2QPMC
7955.ENSDARP00000018110	2QPMC
9606.ENSP00000252100	2QPMC
10090.ENSMUSP00000098365	2QPMD
10116.ENSRNOP00000031472	2QPMD
10116.ENSRNOP00000064293	2QPMD
7955.ENSDARP00000090987	2QPMD
9606.ENSP00000225388	2QPMD
10090.ENSMUSP00000002923	2QPMI
10090.ENSMUSP00000033825	2QPMI
10116.ENSRNOP00000034815	2QPMI
10116.ENSRNOP00000054552	2QPMI
7955.ENSDARP00000060967	2QPMI
7955.ENSDARP00000108490	2QPMI
9606.ENSP00000364567	2QPMI
9606.ENSP00000420200	2QPMI
10090.ENSMUSP00000052340	2QPMK
10090.ENSMUSP00000070935	2QPMK
10116.ENSRNOP00000042179	2QPMK
10116.ENSRNOP00000054733	2QPMK
7955.ENSDARP00000086722	2QPMK
7955.ENSDARP00000101477	2QPMK
9606.ENSP00000362186	2QPMK
9606.ENSP00000367096	2QPMK
4932.YJL107C	2QPMM
4932.YJL108C	2QPMM
10090.ENSMUSP00000061994	2QPMN
10116.ENSRNOP00000067553	2QPMN
7955.ENSDARP00000127713	2QPMN
9606.ENSP00000375311	2QPMN
10090.ENSMUSP00000097947	2QPMP
10116.ENSRNOP00000038645	2QPMP
7955.ENSDARP00000105162	2QPMP
9606.ENSP00000386452	2QPMP
4932.YJL054W	2QPMQ
10090.ENSMUSP00000086321	2QPMR
10116.ENSRNOP00000045239	2QPMR
7955.ENSDARP00000047250	2QPMR
7955.ENSDARP00000116431	2QPMR
9606.ENSP00000385689	2QPMR
